"url","Vote By Town","Yes","No"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Ashburnham","1,918","1,445"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Orange","1,890","1,463"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Bolton","1,738","1,574"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Carlisle","1,720","1,556"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Hadley","1,764","1,499"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Marion","1,631","1,617"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Deerfield","1,684","1,373"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Lee","1,671","1,353"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Boxborough","1,533","1,490"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Lenox","1,601","1,404"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Oak Bluffs","1,844","1,122"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","West Newbury","1,530","1,425"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Hampden","1,401","1,524"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Barre","1,668","1,225"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Boylston","1,400","1,419"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Edgartown","1,672","1,061"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Hubbardston","1,539","1,192"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Sherborn","1,309","1,387"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Paxton","1,235","1,446"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Tisbury","1,721","862"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","North Brookfield","1,461","1,100"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Wenham","1,139","1,303"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Avon","1,235","1,206"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Warren","1,334","1,025"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Nahant","1,260","1,081"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Princeton","1,290","1,039"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Provincetown","1,717","537"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Essex","1,253","962"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Wellfleet","1,431","764"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","West Tisbury","1,578","590"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Hatfield","1,110","1,010"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Brimfield","1,113","993"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","West Brookfield","1,113","965"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Dunstable","1,083","929"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Sunderland","1,241","686"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Berlin","1,051","867"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Cheshire","1,039","824"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Ashby","1,113","738"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Sheffield","1,124","693"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Brookfield","1,017","793"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Plympton","951","798"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Northfield","937","803"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Lanesborough","1,016","705"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Williamsburg","1,086","601"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Millville","955","646"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Truro","963","546"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Hardwick","762","647"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Holland","814","534"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Stockbridge","767","502"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Leverett","896","343"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Shutesbury","929","309"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Bernardston","681","548"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Conway","782","415"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","East Brookfield","614","581"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Huntington","723","450"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Shelburne","732","435"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Oakham","616","504"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Westhampton","626","487"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Ashfield","763","341"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Hinsdale","605","460"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Buckland","626","427"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Becket","690","338"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Phillipston","611","412"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Wales","610","388"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Whately","553","443"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Richmond","568","424"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Gill","552","392"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Granville","510","433"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Pelham","658","245"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Colrain","554","348"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Otis","525","367"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","West Stockbridge","541","347"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Clarksburg","448","392"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Erving","501","323"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Egremont","537","285"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","New Marlborough","532","290"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Petersham","466","329"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Russell","459","334"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Worthington","463","286"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Chilmark","525","217"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Chesterfield","469","262"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Blandford","407","299"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Charlemont","448","252"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Chester","399","289"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Royalston","385","288"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Goshen","366","250"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","New Braintree","329","275"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","New Salem","366","226"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Wendell","460","121"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Cummington","365","177"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Monterey","330","192"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Windsor","300","218"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Peru","306","204"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Montgomery","268","232"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Leyden","278","201"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Warwick","290","165"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Sandisfield","299","155"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Heath","241","203"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Plainfield","261","139"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Hancock","207","173"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Savoy","214","163"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Florida","200","165"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Washington","190","126"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Tolland","163","140"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Middlefield","181","116"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Alford","189","98"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Tyringham","154","131"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Aquinnah","205","71"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Rowe","120","107"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Hawley","120","79"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","New Ashford","101","52"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Mount Washington","68","34"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Gosnold","40","27"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Monroe","43","16"
