"url","Vote By Town","Yes","No"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Dracut","8,313","7,840"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Milton","7,259","8,772"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Norwood","7,409","8,336"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Marshfield","7,774","7,947"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Wakefield","7,381","8,179"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Fitchburg","8,776","6,664"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Reading","6,912","8,476"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Danvers","7,313","8,037"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","North Attleborough","8,230","6,953"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Wellesley","6,331","8,714"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Amherst","11,024","3,742"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Walpole","6,381","8,296"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Agawam","7,197","7,435"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Hingham","6,135","8,482"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Randolph","7,423","7,177"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Belmont","7,585","6,868"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Saugus","6,710","7,652"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Dedham","7,171","7,142"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Stoughton","7,195","6,932"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Yarmouth","6,227","7,748"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Burlington","6,303","7,662"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Westford","6,645","7,232"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Everett","6,552","6,864"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Milford","6,968","6,441"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Wilmington","6,583","6,820"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Mansfield","6,822","6,385"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Stoneham","6,121","6,886"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Bridgewater","6,401","6,559"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Marblehead","6,677","6,262"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Canton","6,000","6,851"
"https://www.nytimes.com/elections/2016/results/massachusetts-ballot-measure-4-legalize-marijuana","Easton","5,929","6,887"
